Activation Method,Armed Actors/ Security Personnel Casualties Total,Armed Actors/ Security Personnel Injured,Armed Actors/ Security Personnel Killed,Boys,Children,Civilian Casualties Total,Civilians Injured,Civilians Killed,Country,Date,Description,Girls,Launch Method,Location,Perpetrator Group Name,Perpetrator Status,Populated Area,Target,Weapon Type,Women
Remote Detonation,0,0,0,0,0,2,2,0,Afghanistan,04-10-2010,IED in Kandahar,0,IED,No Information,Unknown,Non-State Actors,Unclear,State (armed),Non-specific IED,0
Suicide Attack,7,6,1,0,0,0,0,0,Afghanistan,07-10-2010,Suicide bombing in Northern Afghanistan,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Suicide Attack,0,0,0,0,3,83,74,9,Pakistan,07-10-2010,bomb at Pakistani shrine,0,IED,Place Of Worship,Pakistani Taliban,Non-State Actors,Yes,Civilians,Non-specific IED,0
Suicide Attack,0,0,0,0,0,55,35,20,Afghanistan,08-10-2010,Mosque attack in Afghanistan kills governor,0,IED,Place Of Worship,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,0,0,0,0,3,3,2,1,Afghanistan,10-10-2010,Children killed by car bomb,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Car Bomb,0
Remote Detonation,0,0,0,0,0,5,0,5,Algeria,11-10-2010,Bombing in Algeria,0,IED,Urban Residential,Unknown,Unknown,Yes,State (unarmed),Non-specific IED,0
Remote Detonation,0,0,0,0,0,1,1,0,Somalia,15-10-2010,Puntland minister hurt by roadside bomb,0,IED,Town Centre,Unknown,Non-State Actors,Yes,Not Reported,Roadside Bomb,0
Remote Detonation,0,0,0,0,0,39,30,9,Philippines,20-10-2010,Bus kills 9 peoplne in the Philippines,0,IED,Village,Unknown,Non-State Actors,Yes,Civilians,Non-specific IED,0
Remote Detonation,3,0,3,0,0,0,0,0,Pakistan,20-10-2010,Three militants killled by roadside bomb,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Suicide Attack,3,2,1,0,0,0,0,0,Russia,24-10-2010,Suicide bomb in Dagestan,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Car Bomb,0
Suicide Attack,6,5,1,0,0,7,5,2,Afghanistan,25-10-2010,Suicide bombing of police checkpoint,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Car Bomb,0
Remote Detonation,5,3,2,0,0,0,0,0,Algeria,25-10-2010,Soldiers killed in Algeria,0,IED,Road,Unknown,Unknown,Unclear,State (armed),Non-specific IED,0
Remote Detonation,7,3,4,0,0,0,0,0,Afghanistan,26-10-2010,Police killed in Herat Province,0,IED,Road,Unknown,Unknown,Unclear,State (armed),Non-specific IED,0
Remote Detonation,4,3,1,0,2,9,8,1,Pakistan,27-10-2010,Bomb in Quetta,0,IED,School,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Suicide Attack,1,0,1,0,0,7,7,0,Iraq,28-10-2010,Suicide bomber in Iraq,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Car Bomb,0
Suicide Attack,8,6,2,0,0,6,6,0,Pakistan,01-11-2010,Suicide bomber attacks Swabi police station,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Suicide Attack,0,0,0,0,0,72,47,25,Iraq,29-10-2010,Suicide bomb in cafe,0,IED,Entertainment,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Remote Detonation,2,2,0,0,0,0,0,0,Afghanistan,01-11-2010,Roadside bomb targets governor of Northern Kunduz,0,IED,Road,Unknown,Unknown,Unclear,State (unarmed),Roadside Bomb,0
Suicide Attack,15,15,0,0,0,17,17,0,Turkey,31-10-2010,Bombing of busy Istanbul square,0,IED,Town Centre,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Suicide Attack,10,9,1,0,0,0,0,0,Russia,01-11-2010,Russian militant wounds police with grenade,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
