data_release,event_id,claim_id,group_id,ucdp_group_id,group_name,claim,ucdp_conflict_sgv_1_id,ucdp_conflict_sgv_2_id,ucdp_conflict_osv_1_id,ucdp_conflict_osv_2_id,ucdp_dyad_sgv_1_id,ucdp_dyad_sgv_2_id,ucdp_dyad_osv_1_id,ucdp_dyad_osv_2_id,status,admin0_txt,attack_date
02-Oct-20,-2013419585,1816985124,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2013076846,364437718,-526289413,-99,Syrian Social Nationalist Party,Claimed,-1,-1,-99,-99,-1,-1,-99,-99,Confirmed Suicide,None,09-04-1985
02-Oct-20,-2012633457,-1601811627,1219865689,234,Islamic State of Iraq,Claimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2012489771,1828181809,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2011889714,1216963244,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2011671183,618294137,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2011441729,-1028993531,1412607573,234,Islamic State,Suspected,259,-1,506,-1,524,-1,973,-1,Possible - Conflicting Reports,None,07-08-2014
02-Oct-20,-2011363830,1218418175,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2010874715,839976208,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2009297179,-1715025186,-1185898333,-99,Arab Socialist Ba'ath Party - Lebanon,Claimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,08-04-1986
02-Oct-20,-2008644092,760193003,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2008450083,-971269805,1412607573,234,Islamic State,Claimed,259,-1,506,-1,524,-1,973,-1,Confirmed Suicide,None,08-03-2017
02-Oct-20,-2006197408,-1863255327,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Possible - Too Few Sources,None,#VALUE!
02-Oct-20,-2006057478,2053594569,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Possible - Conflicting Reports,None,#VALUE!
02-Oct-20,-2005853106,-574856732,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,02-04-2007
02-Oct-20,-2004875691,-1103732112,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2003594436,395075203,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,11-10-2013
02-Oct-20,-2002423311,1202122872,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,10-10-2004
02-Oct-20,-2002394894,878262384,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,04-05-2018
02-Oct-20,-2002319000,-1279283754,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2001134931,-628255472,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Possible - Too Few Sources,None,#VALUE!
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
