data_release,event_id,attacker_id,gender,birth_year,age_time_death,birth_admin0_id,birth_admin0_cow_id,birth_admin1_id,birth_city_id,birth_admin0_txt,birth_admin1_txt,birth_city_txt
02-Oct-20,-2146485992,-274979578,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2146060571,-1349440448,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2146060571,1487611308,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2145067987,663458966,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2145029986,-163911859,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2143985988,1406415357,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2143985988,-1351215238,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2143985988,-312886157,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2143771747,724193368,Male,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2143582969,-192008563,Male,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2143145947,-1519054215,Female,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2142462005,-1068079304,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2141430050,-403638834,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2141326225,-1760459950,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2137497052,1229464818,Female,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2136994520,-26531489,Male,-1,-1,1,700,824,-18193247,Afghanistan,Badghis,Unknown (Badghis)
02-Oct-20,-2136019429,1359026461,Male,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2135674336,1120953015,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2134868585,2060684954,Male,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2134654500,1845652330,Male,1979,26,275,666,5387,1445564665,Palestine,West Bank,Unknown (West Bank)
02-Oct-20,-2134123971,1978142745,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2133030244,-1919287965,Male,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2132998127,619460444,Male,-1,-1,116,645,5653,843546300,Iraq,Iraq (Unknown),Unknown (Iraq)
02-Oct-20,-2131469763,-1919381479,Male,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2129452379,-474434171,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2129452379,-1087226633,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2129452379,-2100468126,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2129452379,-2123665439,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2129452379,-1717120882,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2129452379,-1268516000,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2129452379,821389309,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
02-Oct-20,-2129452379,-1231615173,Unknown,-1,-1,301,0,5656,1523635399,Unknown,Unknown (Unknown),Unknown
