data_release,event_id,summary,status,ct_sources,event_date,date_year,date_month,date_day,wounded_low,wounded_high,killed_low,killed_high,killed_low_civilian,killed_high_civilian,killed_low_political,killed_high_political,killed_low_security,killed_high_security,ct_belt_bomb,ct_truck_bomb,ct_car_bomb,ct_weapon_oth,ct_weapon_unk,weapon_id,weapon_txt,weapon_type_txt,cbrn_txt,ucdp_conflict_sgv_1_id,ucdp_conflict_sgv_2_id,ucdp_conflict_osv_1_id,ucdp_conflict_osv_2_id,ucdp_dyad_sgv_1_id,ucdp_dyad_sgv_2_id,ucdp_dyad_osv_1_id,ucdp_dyad_osv_2_id,region_id,subregion_id,admin0_id,admin0_cow_id,admin1_id,city_id,Region,Subregion,admin0_txt,admin1_txt,city_txt,aimpoint_desc,latitude,longitude,target_desc,tt1_id,tt2_id,tt3_id,tt1_txt,tt2_txt,tt3_txt,tt_org_id,tt_natl_id,tt_ethnic_id,tt_org_txt,tt_natl_txt,tt_ethnic_txt,tt_relig_id,tt_denom_id,tt_sect_id,tt_relig_txt,tt_denom_txt,tt_sect_txt,ct_claimed,ct_denied,ct_suspect,group_clm_1_id,group_clm_2_id,group_clm_3_id,group_clm_1_txt,group_clm_2_txt,group_clm_3_txt,group_den_1_id,group_den_2_id,group_den_3_id,group_den_1_txt,group_den_2_txt,group_den_3_txt,group_susp_1_id,group_susp_2_id,group_susp_3_id,group_susp_1_txt,group_susp_2_txt,group_susp_3_txt,ct_attackers,ct_attackers_fem,ct_attackers_mal,ct_attackers_unk
02-Oct-20,-2120300926,"5/3/2012: In Makhachkala, Dagestan, Russia at Outskirts of the city, 2 attackers attacked Dagestani Traffic Police Post and First Responders in a Confirmed Suicide suicide attack with a Car bomb, killing 13 people (3 civilian, 0 political, and 10 security) and wounding 122 people.  No group claimed responsibility.  (Note: Claim status not verified!) The attack was verified as Confirmed Suicide on 9/12/2014 10:12:16 AM. This summary generated: 10/9/2020 3:11:40 PM.",Confirmed Suicide,3,05-03-2012,2012,5,4,122,122,12,13,2,3,0,0,10,10,0,0,1,0,0,5,Car bomb,VBIED,None,-99,-99,-99,-99,-99,-99,-99,-99,7,22,203,365,105,-1045093003,Europe,Eastern Europe,Russia,Dagestan,Makhachkala,Outskirts of the city,42.975,47.502,Dagestani Traffic Police Post and First Responders,3,22,122,Security,Police,Checkpoint,13,192,159,Domestic Government,Russian,N/A,18,49,21,N/A,N/A,N/A,0,0,0,40934540,1585107768,1585107768,Unknown Group,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,2,0,0,2
02-Oct-20,-2120112039,"8/22/2015: In Al Hasakah, Hasaka (Al Haksa), Syria at Asayesh position, 1 attacker attacked Kurdish Asayesh forces  position in a Confirmed Suicide suicide attack with a Unspecified, killing 13 people (0 civilian, 0 political, and 13 security) and wounding 50 people.  No group claimed responsibility, but Islamic State is suspected.  (Note: Claim status not verified!) The attack was verified as Confirmed Suicide on 11/2/2015 11:13:53 AM. This summary generated: 10/9/2020 3:11:40 PM.",Confirmed Suicide,2,8/22/2015,2015,8,6,50,50,13,13,0,0,0,0,13,13,0,0,0,1,0,10,Unspecified,Unspecified,None,13604,-1,-99,-99,14620,-1,-99,-99,6,21,235,652,4011,-1161463691,Asia,Western Asia,Syria,Hasaka (Al Haksa),Al Hasakah,Asayesh position,36.483333,40.75,Kurdish Asayesh forces  position,3,20,115,Security,Forces,Troop(s),13,225,159,Domestic Government,Syrian,N/A,18,49,21,N/A,N/A,N/A,0,0,1,40934540,1585107768,1585107768,Unknown Group,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1412607573,1585107768,1585107768,Islamic State,N/A,N/A,1,0,0,1
02-Oct-20,-2117600753,"1/1/2011: In Alexandria, Al Iskandariyah, Egypt at Church, Khaliil Hamada Street, 1 attacker attacked Al-Qiddissin Coptic Church in a Confirmed Suicide suicide attack with a Belt bomb, killing 25 people (25 civilian, 0 political, and 0 security) and wounding 79 people.  No group claimed responsibility.  (Note: Claim status not verified!) The attack was verified as Confirmed Suicide on 3/28/2014 2:43:15 PM. This summary generated: 10/9/2020 3:11:40 PM.",Confirmed Suicide,4,01-01-2011,2011,1,6,79,79,21,25,21,25,0,0,0,0,1,0,0,0,0,3,Belt bomb,PBIED,None,-99,-99,-99,-99,-99,-99,-99,-99,3,7,71,651,1575,1394958888,Africa,Northern Africa,Egypt,Al Iskandariyah,Alexandria,"Church, Khaliil Hamada Street",31.2,29.9,Al-Qiddissin Coptic Church,1,8,44,Civilian,Religious,Facility/Building,42,74,144,N/A,Egyptian,Unknown,3,7,18,Christianity,Eastern Orthodoxy,Coptic,0,0,0,40934540,1585107768,1585107768,Unknown Group,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1,0,1,0
02-Oct-20,-2117415090,"3/25/2016: In Aden, 'Adan, Yemen at Near a camp in al-Hasswa district, 1 attacker attacked Yemeni security checkpoint in a Confirmed Suicide suicide attack with a Belt bomb, killing 18 people (0 civilian, 0 political, and 18 security) and wounding no one.  Islamic State Yemen claimed the attack.  (Note: Claim status not verified!) The attack was verified as Confirmed Suicide on 7/25/2016 11:49:08 AM. This summary generated: 10/9/2020 3:11:40 PM.",Confirmed Suicide,2,3/25/2016,2016,3,5,0,0,12,18,0,0,0,0,12,18,1,0,0,0,0,3,Belt bomb,PBIED,None,13645,-1,-99,-99,14609,-1,-99,-99,6,21,270,679,4664,1731341689,Asia,Western Asia,Yemen,'Adan,Aden,Near a camp in al-Hasswa district,12.8,45.033333,Yemeni security checkpoint,3,20,107,Security,Forces,Checkpoint,13,248,159,Domestic Government,Yemeni,N/A,18,49,21,N/A,N/A,N/A,1,0,0,1486680168,1585107768,1585107768,Islamic State Yemen,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1,0,0,1
02-Oct-20,-2116822737,"8/30/2009: In Baghdad, Baghdad, Iraq at Antar Square, 1 attacker attacked Iraqi Army checkpoint in a Confirmed Suicide suicide attack with a Car bomb, killing 1 person (1 civilian, 0 political, and 0 security) and wounding 20 people.  No group claimed responsibility.  (Note: Claim status not verified!) The attack was verified as Confirmed Suicide on 8/7/2012. This summary generated: 10/9/2020 3:11:40 PM.",Confirmed Suicide,2,8/30/2009,2009,8,7,12,20,1,1,1,1,0,0,0,0,0,0,1,0,0,5,Car bomb,VBIED,None,-99,-99,-99,-99,-99,-99,-99,-99,6,21,116,645,2314,-252679021,Asia,Western Asia,Iraq,Baghdad,Baghdad,Antar Square,33.34,44.4,Iraqi Army checkpoint,3,20,107,Security,Forces,Checkpoint,13,111,159,Domestic Government,Iraqi,N/A,18,49,21,N/A,N/A,N/A,0,0,0,40934540,1585107768,1585107768,Unknown Group,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1,0,1,0
02-Oct-20,-2116483285,"11/11/2010: In Karachi, Sindh, Pakistan at ""Red Zone"" high security area of central Karachi, 3 attackers attacked Pakistan's Crime Investigation Department (CID) compound in a Confirmed Suicide suicide attack with a Car bomb, killing 18 people (8 civilian, 0 political, and 10 security) and wounding 100 people.  Tehrik-i-Taliban Pakistan claimed the attack.   The attack was verified as Confirmed Suicide on 7/14/2014 11:03:30 AM. This summary generated: 10/9/2020 3:11:40 PM.",Confirmed Suicide,4,11-11-2010,2010,11,4,80,100,15,18,5,8,0,0,10,10,0,0,1,0,0,5,Car bomb,VBIED,None,404,-1,-99,-99,857,-1,-99,-99,6,13,187,770,3220,2052313601,Asia,Southern Asia,Pakistan,Sindh,Karachi,"""Red Zone"" high security area of central Karachi",24.91,67.08,Pakistan's Crime Investigation Department (CID) compound,3,20,109,Security,Forces,Facility/Building,13,177,159,Domestic Government,Pakistani,N/A,18,49,21,N/A,N/A,N/A,1,0,0,1681174382,1585107768,1585107768,Tehrik-i-Taliban Pakistan,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,3,0,3,0
02-Oct-20,-2114294757,"3/19/2013: In Iskandariyah, Babil, Iraq at NA, 1 attacker attacked Iraqi Army base in a Confirmed Suicide suicide attack with a Truck bomb, killing 2 people (0 civilian, 0 political, and 2 security) and wounding 10 people.  Islamic State of Iraq claimed the attack.   The attack was verified as Confirmed Suicide on 7/15/2014 10:32:45 PM. This summary generated: 10/9/2020 3:11:40 PM.",Confirmed Suicide,4,3/19/2013,2013,3,2,10,10,2,2,0,0,0,0,2,2,0,1,0,0,0,4,Truck bomb,VBIED,None,259,-1,-99,-99,524,-1,-99,-99,6,21,116,645,2313,-670557950,Asia,Western Asia,Iraq,Babil,Iskandariyah,NA,32.87,44.34,Iraqi Army base,3,20,106,Security,Forces,Base,13,111,159,Domestic Government,Iraqi,N/A,18,49,21,N/A,N/A,N/A,1,0,0,1219865689,1585107768,1585107768,Islamic State of Iraq,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1,0,0,1
02-Oct-20,-2113977479,"6/20/2009: In Taza Khurmatu, Kirkuk, Iraq at Mosque, Taza Kharmatu, 1 attacker attacked Al Rasul Mosque in a Confirmed Suicide suicide attack with a Truck bomb, killing 88 people (88 civilian, 0 political, and 0 security) and wounding 202 people.  No group claimed responsibility.  (Note: Claim status not verified!) The attack was verified as Confirmed Suicide on 8/7/2012. This summary generated: 10/9/2020 3:11:40 PM.",Confirmed Suicide,5,6/20/2009,2009,6,6,202,202,88,88,88,88,0,0,0,0,0,1,0,0,0,4,Truck bomb,VBIED,None,-99,-99,-99,-99,-99,-99,-99,-99,6,21,116,645,2320,1263614791,Asia,Western Asia,Iraq,Kirkuk,Taza Khurmatu,"Mosque, Taza Kharmatu",35.3,44.32,Al Rasul Mosque,1,8,44,Civilian,Religious,Facility/Building,42,111,144,N/A,Iraqi,Unknown,6,2,23,Islam,Shia,Unknown (Shia),0,0,0,40934540,1585107768,1585107768,Unknown Group,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1,0,0,1
02-Oct-20,-2113883132,"9/17/2006: In Kandahar City, Kandahar, Afghanistan at Mirwais Mina Area, 1 attacker attacked NATO-ISAF (Canadian) military convoy in a Confirmed Suicide suicide attack with a Car bomb, killing 1 person (1 civilian, 0 political, and 0 security) and wounding 11 people.  Taliban (IEA) claimed the attack.   The attack was verified as Confirmed Suicide on 6/19/2012. This summary generated: 10/9/2020 3:11:40 PM.",Confirmed Suicide,2,9/17/2006,2006,9,7,4,11,1,1,1,1,0,0,0,0,0,0,1,0,0,5,Car bomb,VBIED,None,333,-1,-99,-99,735,-1,-99,-99,6,13,1,700,845,-140911052,Asia,Southern Asia,Afghanistan,Kandahar,Kandahar City,Mirwais Mina Area,31.61,65.71,NATO-ISAF (Canadian) military convoy,3,20,108,Security,Forces,Convoy,7,45,159,North Atlantic Treaty Organization (NATO),Canadian,N/A,18,49,21,N/A,N/A,N/A,1,0,0,1088854842,1585107768,1585107768,Taliban (IEA),N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1,0,1,0
02-Oct-20,-2113649386,"8/4/2017: In Mosul, Ninawa, Iraq at House in Jadida Neighborhood, 1 attacker attacked Golden Division (Iraqi Special Operations Forces) headquarters in a Confirmed Suicide suicide attack with a Belt bomb, killing 7 people (0 civilian, 0 political, and 7 security) and wounding 4 people.  No group claimed responsibility.  (Note: Claim status not verified!) The attack was verified as Confirmed Suicide on 10/23/2017 6:25:51 PM. This summary generated: 10/9/2020 3:11:40 PM.",Confirmed Suicide,4,08-04-2017,2017,8,5,4,4,7,7,0,0,0,0,7,7,1,0,0,0,0,3,Belt bomb,PBIED,None,-99,-99,-99,-99,-99,-99,-99,-99,6,21,116,645,2322,-1138982372,Asia,Western Asia,Iraq,Ninawa,Mosul,House in Jadida Neighborhood,36.33,43.11,Golden Division (Iraqi Special Operations Forces) headquarters,3,33,207,Security,Government Organized Militia,Facility/Building,15,111,144,Popular Mobilization Forces,Iraqi,Unknown,14,50,20,Unknown,Unknown,Unknown,0,0,0,40934540,1585107768,1585107768,Unknown Group,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1585107768,1585107768,1585107768,N/A,N/A,N/A,1,0,1,0
