Activation Method,Armed Actors/ Security Personnel Casualties Total,Armed Actors/ Security Personnel Injured,Armed Actors/ Security Personnel Killed,Boys,Children,Civilian Casualties Total,Civilians Injured,Civilians Killed,Country,Date,Description,Girls,Launch Method,Location,Perpetrator Group Name,Perpetrator Status,Populated Area,Target,Weapon Type,Women
Remote Detonation,3,2,1,0,0,1,0,1,Nigeria,10-10-2011,IED kills soldier and civilian and damages shops,0,IED,Road,Boko Haram,Non-State Actors,Yes,Not Reported,Non-specific IED,0
Remote Detonation,3,3,0,0,0,0,0,0,Pakistan,11-10-2011,Remote-controlled bomb wounds three soldiers,0,IED,Road,Unknown,Unknown,Yes,Not Reported,Roadside Bomb,0
Suicide Attack,2,0,2,0,0,2,2,0,Yemen,11-10-2011,Man detonates IED outside government office,0,IED,Public Building,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Remote Detonation,6,0,6,0,0,1,0,1,Afghanistan,11-10-2011,Roadside bomb kills six police officers,0,IED,Road,Unknown,Unknown,Unclear,State (unarmed),Roadside Bomb,0
Suicide Attack,1,0,1,0,0,39,25,14,Iraq,12-10-2011,Explosives-filled vehicle kills 14 at police station,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Car Bomb,0
Suicide Attack,1,0,1,0,0,27,23,4,Iraq,12-10-2011,Four killed by explosives detonated at police building,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Car Bomb,0
Suicide Attack,7,3,4,0,0,1,0,1,Afghanistan,14-10-2011,Five killed when car explodes at border checkpoint,0,IED,Armed Base,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Suicide Attack,6,5,1,1,1,1,0,1,Afghanistan,17-10-2011,Man detonates IED by military convoy killing three-year-old boy,0,IED,Road,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Remote Detonation,5,5,0,0,0,2,2,0,Turkey,15-10-2011,Five police officers injured during demonstration,0,IED,Public Gathering,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Victim-activated,1,1,0,0,0,0,0,0,Afghanistan,16-10-2011,US soldier severely injured by shrapnel and blast exposure,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Remote Detonation,5,0,5,0,1,7,4,3,Turkey,18-10-2011,Bomb targeting police vehicle kills eight including young girl,1,IED,Village,Unknown,Unknown,Yes,State (armed),Roadside Bomb,0
Suicide Attack,1,0,1,0,0,9,4,5,Somalia,18-10-2011,Six killed in car bomb outside government ministries,0,IED,Public Building,Unknown,Unknown,Yes,State (unarmed),Car Bomb,0
Suicide Attack,3,2,1,0,0,3,0,3,Afghanistan,18-10-2011,Three civilians killed by IED targeting army,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Remote Detonation,0,0,0,0,2,2,2,0,Somalia,19-10-2011,Two children wounded by bomb on bridge,0,IED,Road,Unknown,Unknown,Yes,State (armed),Roadside Bomb,0
Victim-activated,2,0,2,0,0,0,0,0,Afghanistan,23-10-2011,Two Afghan police officers killed,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Remote Detonation,0,0,0,0,0,1,1,0,Philippines,24-10-2011,Passenger injured on Rural Transit Bus ,0,IED,Public Transport,Unknown,Unknown,Yes,Not Reported,Roadside Bomb,0
Suicide Attack,3,2,1,0,0,1,1,0,Somalia,23-10-2011,"IED targets AMISOM convoy, killing one",0,IED,Road,Unknown,Unknown,Unclear,International Actor (armed),Non-specific IED,0
Remote Detonation,1,0,1,1,1,5,2,3,Pakistan,25-10-2011,"Four, including 12-year-old, killed in car",0,IED,Village,Unknown,Unknown,Yes,Armed Groups,Roadside Bomb,0
Suicide Attack,3,2,1,0,0,6,5,1,Iraq,24-10-2011,Civilian killed by IED in Mansour district,0,IED,Town Centre,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Timed Detonation,0,0,0,0,0,46,45,1,Thailand,25-10-2011,"Multiple IEDs by shops, schools and restaurants injure 45",0,IED,Multiple (urban),Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Remote Detonation,0,0,0,0,0,14,14,0,Pakistan,27-10-2011,14 injured when shop targeted by IED ,0,IED,Market,Unknown,Unknown,Yes,Civilians,Non-specific IED,1
Remote Detonation,0,0,0,0,2,12,12,0,Pakistan,26-10-2011,12 injured and shops damaged inside cloth market,0,IED,Market,Unknown,Unknown,Yes,Not Reported,Non-specific IED,1
Suicide Attack,4,1,3,0,0,3,3,0,Pakistan,27-10-2011,Two policemen killed driving through market,0,IED,Market,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,6,0,6,0,0,12,0,12,Afghanistan,29-10-2011,17 killed in attack on military bus,0,IED,Town Centre,Taliban,Non-State Actors,Yes,International Actor (armed),Non-specific IED,0
Suicide Attack,1,0,1,0,3,23,21,2,Turkey,29-10-2011,Three killed in blast on busy street,0,IED,Commercial Premises,Unknown,Unknown,Yes,Not Reported,Non-specific IED,1
